timestamp,ambient (ground),tank (left),ambient (tank),tank (right),line (outer),line (inner)
1564273339.06,523,600,535,608,525,480
1564273340.06,523,600,535,607,525,480
1564273370.12,522,599,539,607,525,481
1564273371.12,522,600,539,607,525,480
1564273372.12,522,600,539,607,524,481
1564273373.12,522,600,539,607,525,480
1564273374.13,521,600,540,607,525,481
1564273375.13,521,599,540,607,524,480
1564273376.13,521,600,540,607,524,481
1564273377.13,521,600,540,607,524,480
1564273378.13,521,599,541,607,525,480
1564273379.13,522,600,541,607,525,481
1564273380.14,522,599,542,607,525,481
1564273381.14,522,599,542,607,525,480
1564273382.14,522,600,542,607,525,480
1564273383.14,522,600,542,607,525,480
1564273384.14,522,600,542,607,525,480
1564273385.15,523,600,542,607,525,480
1564273386.15,523,600,541,607,525,480
1564273387.15,523,600,541,607,525,480
1564273388.15,522,600,542,606,525,480
1564273389.16,523,600,542,607,525,480
1564273395.76,523,600,544,607,525,480
1564273396.76,522,600,544,607,525,480
1564273397.76,522,600,545,607,525,480
1564273398.77,523,600,544,607,525,480
1564273399.77,523,600,545,607,525,481
1564273400.77,523,600,545,607,525,480
1564273401.77,523,600,544,607,525,480
1564273402.78,523,599,544,607,525,481
1564273403.78,522,599,545,607,525,480
1564273404.78,522,600,544,607,525,480
1564273405.78,522,600,544,607,525,481
1564273406.78,522,600,543,607,525,480
1564273407.79,521,600,543,607,525,480
1564273408.79,521,600,543,607,525,480
1564273409.79,521,600,543,607,525,480
1564273410.79,521,600,543,607,525,480
1564273411.8,521,600,542,607,525,480
1564273412.8,520,600,541,607,525,480
1564273413.8,520,600,540,607,525,481
1564273414.8,520,600,540,606,525,480
1564273415.8,520,600,539,607,525,480
1564273416.8,520,599,539,607,525,480
1564273417.8,520,600,539,607,525,480
1564273418.81,520,599,539,607,525,481
1564273419.81,521,599,539,607,525,480
1564273420.81,521,600,539,607,525,480
1564273421.81,522,600,540,606,525,480
1564273422.82,522,600,540,607,525,480
1564273423.82,522,599,541,607,525,480
1564273424.82,522,599,541,606,525,480
1564273425.82,522,600,540,607,524,480
1564273426.82,522,600,539,606,525,480
1564273427.83,522,600,539,607,525,480
1564273428.82,522,600,539,606,525,480
1564273429.83,523,600,539,606,525,481
1564273430.83,522,600,539,607,525,480
1564273431.83,522,599,538,606,525,480
1564273432.83,521,599,538,607,525,480
1564273433.84,521,599,538,606,525,480
1564273434.84,521,599,538,607,525,481
1564273435.84,521,599,538,606,525,480
1564273436.84,520,599,538,606,525,480
1564273437.84,520,599,538,606,525,480
1564273438.85,520,599,539,606,525,480
1564273439.85,520,599,538,606,525,481
1564273440.85,520,600,537,606,525,480
1564273441.85,520,599,537,606,525,481
1564273442.86,520,599,537,606,525,480
1564273443.86,521,599,537,606,525,480
1564273444.86,520,599,537,606,525,480
1564273445.86,520,599,537,606,525,481
1564273446.86,521,599,537,607,526,484
1564273447.86,521,599,537,607,530,487
1564273448.86,521,599,537,607,531,486
1564273449.87,521,599,536,607,530,485
1564273450.87,521,600,536,606,537,490
1564273451.87,521,599,537,607,539,490
1564273452.87,521,600,536,606,537,488
1564273453.88,521,600,536,606,534,487
1564273454.88,521,600,535,606,533,486
1564273455.88,521,600,535,606,538,485
1564273456.88,521,600,535,607,538,484
1564273457.88,521,600,534,606,536,484
1564273458.89,521,600,534,607,534,483
1564273459.89,520,600,534,606,532,483
1564273460.89,520,600,534,606,531,483
1564273461.89,520,599,534,606,530,482
1564273462.89,519,599,533,606,530,482
1564273463.89,519,600,533,606,529,482
1564273464.9,519,600,533,606,528,482
1564273465.9,519,600,533,607,528,482
1564273466.9,519,600,533,606,528,482
1564273467.9,519,600,533,607,527,482
1564273468.9,519,600,532,607,527,482
1564273469.91,519,599,533,606,527,482
1564273470.91,519,600,533,607,527,482
1564273471.91,519,600,532,606,527,481
1564273472.91,519,599,531,607,527,481
1564273473.92,519,599,531,606,527,481
1564273474.92,519,599,530,607,527,481
1564273475.92,518,599,530,606,527,481
1564273476.92,519,600,529,606,526,481
1564273477.92,519,600,529,606,527,481
1564273478.93,519,599,529,607,527,481
1564273479.92,518,599,528,607,526,481
1564273480.93,518,599,528,607,526,481
1564273481.93,518,599,527,607,526,481
1564273482.93,518,599,528,607,527,482
1564273483.93,518,599,528,607,527,481
1564273484.94,518,599,528,607,527,482
1564273485.94,518,599,528,606,527,481
1564273486.94,519,599,528,606,527,482
1564273487.94,519,599,528,607,527,482
1564273488.94,519,599,528,607,527,482
1564273489.95,519,599,528,606,527,482
1564273490.95,520,599,528,606,527,482
1564273491.95,520,599,529,606,527,482
1564273492.95,520,599,529,607,527,482
1564273493.95,520,599,529,607,527,482
1564273494.96,520,599,529,606,527,482
1564273495.96,520,599,529,606,527,482
1564273496.96,520,599,529,607,527,482
1564273497.96,520,599,529,607,527,482
